Subject,Description,Start Date,End Date,All Day Event
"🚴  25 miles","Long Ride 25 miles or so",04/22/2018,04/22/2018,True
"🚴  Any distance","Short Ride. Any distance. Have a local bike shop fix any nagging issues or do a full tune-up",04/23/2018,04/23/2018,True
"🚴  10 miles","Moderate Ride 10 miles",04/24/2018,04/24/2018,True
"🏋  Cross-training","Cross-training",04/25/2018,04/25/2018,True
"🚴  12 miles","Easy Ride 12 miles",04/26/2018,04/26/2018,True
"😴  Rest","REST DAY",04/27/2018,04/27/2018,True
"🚴  14-16 miles","Long Slow Ride 14-16 miles",04/28/2018,04/28/2018,True
"🚴  Easy ride","Easy Ride. Pick fun destination.",04/29/2018,04/29/2018,True
"😴  Rest","REST DAY",04/30/2018,04/30/2018,True
"🚴  10 miles","Slow Ride 10 miles",05/01/2018,05/01/2018,True
"🏋  Cross-training","Cross-training",05/02/2018,05/02/2018,True
"🚴  Intervals","Moderate-paced Ride with intervals 2-3 minutes each, practice spinning high cadence",05/03/2018,05/03/2018,True
"😴  Rest","REST DAY",05/04/2018,05/04/2018,True
"🚴  16-18 miles","Long Slow Ride 16-18 miles",05/05/2018,05/05/2018,True
"🚴  Any distance","Short Ride but with hills, practice shifting gears and good quick climbing rhythm. Any distance",05/06/2018,05/06/2018,True
"😴  Rest","REST DAY",05/07/2018,05/07/2018,True
"🚴  8-10 miles","Moderate Ride 8-10 miles",05/08/2018,05/08/2018,True
"🏋  Cross-training","Cross-training",05/09/2018,05/09/2018,True
"🚴  Intervals","Moderate-paced Ride with longer intervals than last week but similar tempo.",05/10/2018,05/10/2018,True
"😴  Rest","REST DAY",05/11/2018,05/11/2018,True
"🚴  18 miles","Long Slow Ride 18 miles",05/12/2018,05/12/2018,True
"🚴  10 miles","Moderate Ride 10 miles",05/13/2018,05/13/2018,True
"😴  Rest","REST DAY",05/14/2018,05/14/2018,True
"🚴  15 miles","Long Slow Ride 15 miles",05/15/2018,05/15/2018,True
"🏋  Cross-training","Cross-training",05/16/2018,05/16/2018,True
"🚴  12 miles","Moderate Ride 12 miles",05/17/2018,05/17/2018,True
"😴  Rest","REST DAY",05/18/2018,05/18/2018,True
"🚴  20 miles","Long Slow Ride 20 miles",05/19/2018,05/19/2018,True
"🚴  10 miles","Moderate Ride with small Hills 10 miles",05/20/2018,05/20/2018,True
"😴  Rest","REST DAY",05/21/2018,05/21/2018,True
"🚴  15 miles","Long Slow Ride 15 miles",05/22/2018,05/22/2018,True
"🏋  Cross-training","Cross-training",05/23/2018,05/23/2018,True
"🚴  15 miles","Moderate Ride 15 miles",05/24/2018,05/24/2018,True
"😴  Rest","REST DAY Visit local bike shop for nutrition supplies",05/25/2018,05/25/2018,True
"🚴  22 miles","Long Slow Ride 22 miles",05/26/2018,05/26/2018,True
"🚴  12 miles","Moderate Ride 12 miles",05/27/2018,05/27/2018,True
"😴  Rest","REST DAY",05/28/2018,05/28/2018,True
"🚴  18 miles","Long Slow Ride 18 miles",05/29/2018,05/29/2018,True
"🏋  Cross-training","Cross-training",05/30/2018,05/30/2018,True
