Subject,Description,Start Date,End Date,All Day Event
"Bike Tune-up","Get out the bike. Have a local bike shop check your fit and do a tune-up",04/22/2018,04/22/2018,True
"🚴  Any distance","Short Ride Any Distance",04/23/2018,04/23/2018,True
"🚴  6-8 miles","Long Slow Ride 6-8 miles",04/24/2018,04/24/2018,True
"🏋  Cross-training","Cross-training",04/25/2018,04/25/2018,True
"🚴  5 miles","Easy Ride 5 miles",04/26/2018,04/26/2018,True
"😴  Rest","REST DAY",04/27/2018,04/27/2018,True
"🚴  8-10 miles","Long Slow Ride 8-10 miles",04/28/2018,04/28/2018,True
"easy ride. pick fun destination.","Easy Ride. Pick fun destination.",04/29/2018,04/29/2018,True
"😴  Rest","REST DAY",04/30/2018,04/30/2018,True
"🚴  7 miles","Slow Ride 7 miles",05/01/2018,05/01/2018,True
"🏋  Cross-training","Cross-training",05/02/2018,05/02/2018,True
"🚴  6 miles","Moderate-paced Ride for 6 miles. Time yourself if you’d like but don’t over-do it",05/03/2018,05/03/2018,True
"😴  Rest","REST DAY",05/04/2018,05/04/2018,True
"🚴  12 miles","Slow Ride 12 miles",05/05/2018,05/05/2018,True
"🚴  Any distance","Short Ride but with hills, practice shifting gears frequently. Any Distance",05/06/2018,05/06/2018,True
"😴  Rest","REST DAY",05/07/2018,05/07/2018,True
"🚴  8 miles","Moderate Ride 8 miles",05/08/2018,05/08/2018,True
"🏋  Cross-training","Cross-training",05/09/2018,05/09/2018,True
"🚴  6 miles","Moderate Ride 6 miles. Same course as last week and compare your time if you’d like",05/10/2018,05/10/2018,True
"😴  Rest","REST DAY",05/11/2018,05/11/2018,True
"🚴  10 miles","Long Slow Ride 10 miles",05/12/2018,05/12/2018,True
"🚴  Any distance","Fun Easy Ride Any Distance",05/13/2018,05/13/2018,True
"😴  Rest","REST DAY",05/14/2018,05/14/2018,True
"🚴  8 miles","Long Slow Ride 8 miles",05/15/2018,05/15/2018,True
"🏋  Cross-training","Cross-training",05/16/2018,05/16/2018,True
"🚴  8 miles","Moderate Ride. Time yourself if you’d like, and write down your time for future reference. 8 miles",05/17/2018,05/17/2018,True
"😴  Rest","REST DAY",05/18/2018,05/18/2018,True
"🚴  12 miles","Long Slow Ride 12 miles",05/19/2018,05/19/2018,True
"🚴  8 miles","Moderate Ride with small Hills 8 miles",05/20/2018,05/20/2018,True
"😴  Rest","REST DAY",05/21/2018,05/21/2018,True
"🚴  10 miles","Long Slow Ride 10 miles",05/22/2018,05/22/2018,True
"🏋  Cross-training","Cross-training",05/23/2018,05/23/2018,True
"🚴  8 miles","Moderate Ride – Same course as last week. 8 miles",05/24/2018,05/24/2018,True
"😴  Rest","REST DAY",05/25/2018,05/25/2018,True
"🚴  14 miles","Long Slow Ride 14 miles",05/26/2018,05/26/2018,True
"🚴  Any distance","Cross-training and/or Fun Short Ride Any Distance",05/27/2018,05/27/2018,True
"😴  Rest","REST DAY",05/28/2018,05/28/2018,True
"🚴  12 miles","Long Slow Ride 12 miles",05/29/2018,05/29/2018,True
"🏋  Cross-training","Cross-training",05/30/2018,05/30/2018,True
"🚴  9 miles","Moderate Ride with intervals: Alternate 1 mile slow, next mile fast, next mile slow, etc. Then cool-down of 1 mile very slow. 9 miles",05/31/2018,05/31/2018,True
"😴  Rest","REST DAY",06/01/2018,06/01/2018,True
"🚴  15 miles","Long Slow Ride 15 miles",06/02/2018,06/02/2018,True
"🚴  10 miles","Moderate Ride with Hills 10 miles",06/03/2018,06/03/2018,True
"😴  Rest","REST DAY",06/04/2018,06/04/2018,True
"🚴  15 miles","Long Slow Ride 15 miles",06/05/2018,06/05/2018,True
"🏋  Cross-training","Cross-training",06/06/2018,06/06/2018,True
"🚴  12 miles","Moderate Ride 12 miles",06/07/2018,06/07/2018,True
"😴  Rest","REST DAY (START OF RECOVERY WEEK) Relax, enjoy sleep and eat more!",06/08/2018,06/08/2018,True
"🏋  Cross-training","Cross-training or Rest Day",06/09/2018,06/09/2018,True
"🚴  10 miles","Easy Ride 10 miles",06/10/2018,06/10/2018,True
"😴  Rest","REST DAY",06/11/2018,06/11/2018,True
"🚴  15 miles","Very Slow Ride 15 miles",06/12/2018,06/12/2018,True
"😴  Rest","REST DAY",06/13/2018,06/13/2018,True
"🏋  Cross-training","Cross-training or Short Moderate Ride",06/14/2018,06/14/2018,True
"😴  Rest","REST DAY",06/15/2018,06/15/2018,True
"🚴  15 miles","Long Slow Ride 15 miles",06/16/2018,06/16/2018,True
"🚴  8 miles","Moderate Ride with Hills 8 miles",06/17/2018,06/17/2018,True
"😴  Rest","REST DAY",06/18/2018,06/18/2018,True
"🚴  14 miles","Long Slow Ride 14 miles",06/19/2018,06/19/2018,True
"🏋  Cross-training","Cross-training",06/20/2018,06/20/2018,True
"🚴  8 miles","Hard Ride as fast as possible (Compare your time to May 14th) 8 miles",06/21/2018,06/21/2018,True
"😴  Rest","REST DAY",06/22/2018,06/22/2018,True
"🚴  18 miles","Long Slow Ride. Use easy gears and spin pedals faster. 18 miles",06/23/2018,06/23/2018,True
"🚴  10 miles","Hard Ride with Hills or Intervals 10 miles",06/24/2018,06/24/2018,True
"😴  Rest","REST DAY",06/25/2018,06/25/2018,True
"🚴  20 miles","Long Slow Ride 20 miles",06/26/2018,06/26/2018,True
"🏋  Cross-training","Cross-training",06/27/2018,06/27/2018,True
"🚴  10 miles","Hard Ride. Try lower gears with faster cadence. 10 miles",06/28/2018,06/28/2018,True
"😴  Rest","REST DAY",06/29/2018,06/29/2018,True
"🚴  22 miles","Long Slow Ride 22 miles",06/30/2018,06/30/2018,True
"🚴  15 miles","Hard Ride with Hills 15 miles",07/01/2018,07/01/2018,True
"😴  Rest","REST DAY",07/02/2018,07/02/2018,True
"🚴  18 miles","Long Slow Ride 18 miles",07/03/2018,07/03/2018,True
"🏋  Cross-training","Cross-training",07/04/2018,07/04/2018,True
"🚴  15 miles","Moderate Ride with Hills or Intervals 15 miles",07/05/2018,07/05/2018,True
"😴  Rest","REST DAY Visit local bike shop for nutrition supplies",07/06/2018,07/06/2018,True
"🚴  25 miles","Long Slow Ride 25 miles",07/07/2018,07/07/2018,True
"🚴  15 miles","Hard Ride with Hills 15 miles",07/08/2018,07/08/2018,True
"😴  Rest","REST DAY (START TAPER for VeloSano) Relax, Sleep more, eat more!",07/09/2018,07/09/2018,True
"🚴  15 miles","Long Slow Ride with easy gears 15 miles",07/10/2018,07/10/2018,True
"😴  Rest","REST DAY",07/11/2018,07/11/2018,True
"🚴  8 miles","Hard Ride (as fast as possible) 8 miles",07/12/2018,07/12/2018,True
"😴  Rest","REST DAY",07/13/2018,07/13/2018,True
"🚴  15 miles","Long Slow Ride 15 miles",07/14/2018,07/14/2018,True
"🚴  10-12 miles","Moderate Ride (Don’t over-do it!) 10-12 miles",07/15/2018,07/15/2018,True
"😴  Rest","REST DAY",07/16/2018,07/16/2018,True
"🚴  10 miles","Slow Ride (even less if tired) 10 miles",07/17/2018,07/17/2018,True
"🏋  Cross-training","Gentle Cross-training or Rest Day; Sleep more",07/18/2018,07/18/2018,True
"😴  Rest","REST DAY (Preview the Course by car) Eat More!",07/19/2018,07/19/2018,True
"🚴  5-10 miles","Easy Ride before you go to the VeloSano Kickoff Party! 5-10 miles",07/20/2018,07/20/2018,True
"🎉  VELOSANO RIDE AND EVENTS","VELOSANO RIDE AND EVENTS",07/21/2018,07/21/2018,True
"🎉  VELOSANO 2-DAY RIDE AND EVENTS","VELOSANO 2-DAY RIDE AND EVENTS",07/22/2018,07/22/2018,True
